추정가격,예정가격,입찰계약방법,낙찰율,낙찰금액
301258182,331110650,제한경쟁,88.57,293266433
519358182,569385900,제한경쟁,88.237,502412900
353922727,390937525,제한경쟁,88.568,346248440
631192728,693251500,제한경쟁,88.33,612353712
246270910,271142525,제한경쟁,88.575,240165636
2729950000,3011698650,제한경쟁,87.342,2630483000
250600000,277316100,제한경쟁,88.68,245925400
282654546,309128375,제한경쟁,88.178,272586200
232636364,255643500,제한경쟁,88.524,226306200
337316364,373529450,제한경쟁,88.176,329364655
261000000,285255450,제한경쟁,88.277,251815410
598990909,657328500,제한경쟁,88.433,581296395
79270000,85427600,제한경쟁,88.346,75472700
2516708182,2763818150,제한경쟁,87.419,2416116000
276545455,304605425,제한경쟁,88.249,268813880
459090909,504072100,제한경쟁,89.762,452469000
794700000,873538450,제한경쟁,88.436,772523580
103933637,114560850,제한경쟁,88.489,101374120
108145455,118192775,제한경쟁,87.765,103732310
370670000,409013250,제한경쟁,88.152,360556880
250394545,274312725,제한경쟁,88.338,242324000
612236364,671673700,제한경쟁,88.745,596081000
229090909,251242800,제한경쟁,88.619,222651000
74200000,82141375,제한경쟁,88.348,72571000
214057273,235494250,제한경쟁,88.376,208121500
143272728,156547300,제한경쟁,88.403,138393770
208461818,230732625,제한경쟁,88.466,204121530
77711818,84442950,제한경쟁,88.414,74659570
247727273,272863825,제한경쟁,88.386,241175950
510200000,563979850,제한경쟁,88.568,499508900
205365455,225851775,제한경쟁,88.27,199361470
293300000,322158200,제한경쟁,88.381,284727000
742410909,817419675,제한경쟁,88.555,723866268
1087430909,1187965300,제한경쟁,87.423,1038557860
563090910,612458125,제한경쟁,88.183,540088867
42272728,46502400,제한경쟁,88.354,41086900
311818182,341221600,제한경쟁,88.25,301129006
24254545,26379825,제한경쟁,87.761,23151260
326300000,360103775,제한경쟁,88.093,317228900
452127273,495986050,제한경쟁,88.543,439163000
644410000,711190225,제한경쟁,88.299,627980000
5734100000,6324981850,제한경쟁,86.187,5451340700
376847273,418702275,제한경쟁,88.591,370934080
368922730,405620250,제한경쟁,88.557,359207000
871495455,960936600,제한경쟁,88.375,849230910
222970000,243188400,제한경쟁,88.561,215371301
867531819,949189150,제한경쟁,88.374,838843319
3173266000,3501448375,제한경쟁,87.619,3067953760
335454546,369991700,제한경쟁,88.161,326190400
207600000,229118200,제한경쟁,88.797,203451900
566663636,619113200,제한경쟁,88.461,547678254
722105909,801574600,제한경쟁,89.564,717927650
353190000,384970700,제한경쟁,88.325,340026040
227272728,251001875,제한경쟁,88.457,222031000
211913076,232931950,제한경쟁,88.435,205995570
207510000,229579250,제한경쟁,87.977,201978498
232095455,257319425,제한경쟁,88.299,227212820
555287037,605849850,제한경쟁,88.218,534469570
248840000,273867750,제한경쟁,88.261,241719439
1090909091,1199415000,제한경쟁,87.267,1046700000
1617110909,1776322775,제한경쟁,87.524,1554721000
332714546,366789400,제한경쟁,88.402,324251000
199570000,219090750,제한경쟁,88.218,193278650
225216481,249614050,제한경쟁,88.374,220595600
200636364,220482075,제한경쟁,88.472,195065920
583450000,637787075,제한경쟁,88.281,563047000
309834546,340195225,제한경쟁,88.284,300340700
198300000,216057275,제한경쟁,88.539,191295660
492891971,535759075,제한경쟁,88.635,474873157
264530000,295044475,제한경쟁,88.481,261060590
234880000,260960775,제한경쟁,88.438,230788500
407740000,446064050,제한경쟁,88.16,393250880
1533110000,1669012950,제한경쟁,87.286,1456824900
213450000,234961175,제한경쟁,88.32,207517720
212882727,234065100,제한경쟁,88.532,207224300
215511288,235463650,제한경쟁,87.908,206993541
480293637,522227525,제한경쟁,88.572,462551040
269763637,298888450,제한경쟁,88.217,263672730
135400000,146053600,제한경쟁,88.364,129060100
1984598371,2166745350,제한경쟁,87.417,1894114800
438600000,481416750,제한경쟁,88.271,424954000
251780000,275945775,제한경쟁,88.089,243077903
285963636,313351375,제한경쟁,88.478,277249167
702794545,777884500,제한경쟁,88.536,688707857
247134546,268997050,제한경쟁,88.355,237673300
181278182,201272475,제한경쟁,88.4,177925000
85970000,95381975,제한경쟁,88.893,84788634
774355455,844435850,제한경쟁,88.291,745564000
556910000,610014350,제한경쟁,88.25,538341000
1035370001,1148784200,제한경쟁,87.249,1002310400
358937820,397179900,제한경쟁,88.451,351312678
301563637,328501550,제한경쟁,88.432,290502800
368342727,404955225,제한경쟁,88.431,358108000
388410000,427228625,제한경쟁,88.442,377851570
138109091,151712675,제한경쟁,88.641,134480770
294553637,321468825,제한경쟁,88.476,284425100
208181820,225866175,제한경쟁,88.585,200085000
2369368182,2626367075,제한경쟁,87.402,2295506000
261775455,286807725,제한경쟁,88.42,253597196
855210000,946702350,제한경쟁,88.333,836258430
295700000,326665475,제한경쟁,88.585,289379616
769704545,839162925,제한경쟁,88.278,740797600
71598182,77755875,제한경쟁,88.002,68427250
437297273,481735350,제한경쟁,88.317,425458000
160500000,176290075,제한경쟁,88.776,156505000
48681819,53176675,제한경쟁,88.251,46929254
251059999,274277100,제한경쟁,88.423,242524980
584043636,639658225,제한경쟁,88.439,565713000
150250000,165018475,제한경쟁,88.285,145687644
170511819,185354950,제한경쟁,88.504,164048246
245356363,266722175,제한경쟁,88.676,236520154
940960000,1039905275,제한경쟁,88.539,920722600
855521820,941379900,제한경쟁,88.156,829884570
160010000,173755475,제한경쟁,88.538,153839800
567680000,633319900,제한경쟁,88.407,559900000
442190910,485560050,제한경쟁,88.463,429544300
854782728,921949450,제한경쟁,88.435,815334000
576880000,635770550,제한경쟁,88.465,562436840
31359091,34511325,제한경쟁,88.214,30443900
719567273,794696100,제한경쟁,88.13,700372000
189174545,206950675,제한경쟁,88.426,182999217
479875455,529213075,제한경쟁,88.234,466947730
460990910,515689025,제한경쟁,88.555,456669150
453390000,500722725,제한경쟁,88.564,443460595
2326900000,2572771950,제한경쟁,87.558,2252675160
1286980000,1426469050,제한경쟁,87.408,1246852000
97430000,106965675,제한경쟁,87.959,94086500
274873637,303202375,제한경쟁,88.375,267957817
116400000,127170950,제한경쟁,88.452,112485773
216800000,236981800,제한경쟁,88.356,209389218
277900000,306128725,제한경쟁,88.259,270186220
203400000,225070200,제한경쟁,88.199,198510000
6322494545,6987779075,제한경쟁,86.682,6057189300
458181820,500422900,제한경쟁,88.331,442029413
102252728,110899700,제한경쟁,88.337,97966574
406234546,446696050,제한경쟁,88.486,395267650
946309091,1045788225,제한경쟁,88.515,925683030
315070000,348671225,제한경쟁,88.524,308660200
49230000,53877550,제한경쟁,88.022,47424520
226400000,236936775,제한경쟁,88.221,209029000
472109091,519538200,제한경쟁,88.55,460052000
211545455,233727425,제한경쟁,88.402,206620800
2883224545,3159495200,제한경쟁,87.41,2761738000
1409500000,1540364400,제한경쟁,87.382,1346008400
261410000,287023400,제한경쟁,88.426,253804370
1881730000,2059299950,제한경쟁,87.393,1799688200
286181818,315735775,제한경쟁,88.377,279038950
980273636,1094933825,제한경쟁,88.368,967574945
270550000,296198850,제한경쟁,88.605,262447780
290320000,316453125,제한경쟁,88.31,279461400
242320910,265364900,제한경쟁,88.501,234851280
1079500000,1191891150,제한경쟁,87.382,1041503000
620277273,675783925,제한경쟁,88.534,598303494
182061819,196891025,제한경쟁,88.557,174360872
1490336364,1625919025,제한경쟁,87.712,1426128000
224351819,245379150,제한경쟁,88.2,216424580
621711818,686692100,제한경쟁,92.268,633601169
445900000,488365000,제한경쟁,88.42,431813000
240970000,266183000,제한경쟁,88.235,234869100
280909091,308452325,제한경쟁,88.337,272479320
428440910,473892450,제한경쟁,88.103,417515800
326750000,356074300,제한경쟁,88.465,315002800
1438054546,1602803900,제한경쟁,87.399,1400838520
927272728,1019293650,제한경쟁,88.671,903821500
84089370,91839750,제한경쟁,87.762,80600900
737470909,799431050,제한경쟁,88.582,708157000
195170000,215343450,제한경쟁,88.378,190318108
603880000,668844900,제한경쟁,88.377,591108705
134760000,149888875,제한경쟁,87.999,131900982
112000000,122378300,제한경쟁,88.063,107770432
1421499780,1544260550,제한경쟁,87.416,1349941000
759214545,823454550,제한경쟁,88.301,727126700
308291818,341110000,제한경쟁,88.464,301760600
444000000,485298700,제한경쟁,88.605,430000000
455780000,498888850,제한경쟁,88.63,442169962
333537273,366427850,제한경쟁,88.147,322997010
96316364,104925100,제한경쟁,87.747,92069320
905760000,981119475,제한경쟁,88.549,868776650
502410000,543485325,제한경쟁,88.841,482839427
186180000,206635600,제한경쟁,88.393,182652965
493563636,543051700,제한경쟁,88.635,481334810
243690000,267634850,제한경쟁,88.165,235960300
161818182,179495250,제한경쟁,88.175,158271100
102660000,112455725,제한경쟁,87.901,98850410
201100000,222669475,제한경쟁,88.217,196434480
235820000,256868350,제한경쟁,88.466,227243130
5262834545,5809568100,제한경쟁,86.242,5010319300
1810102726,1979689050,제한경쟁,87.444,1731127000
254272727,281170575,제한경쟁,89.344,251210000
206458182,225430300,제한경쟁,88.494,199493295
294000000,324790675,제한경쟁,88.277,286717542
255000000,278644550,제한경쟁,88.283,245995830
187527273,208625475,제한경쟁,88.206,184020851
80076363,87842075,제한경쟁,88.036,77333210
411800000,450554325,제한경쟁,88.105,396961270
519282728,575528000,제한경쟁,88.474,509195000
209420000,232381750,제한경쟁,88.41,205450240
5203403636,5771637500,제한경쟁,86.313,4981728000
32029091,34851975,제한경쟁,87.762,30586843
107389091,120038500,제한경쟁,88.393,106106730
358481819,390748525,제한경쟁,88.224,344737465
256450910,278122050,제한경쟁,88.478,246077174
51510000,56610750,제한경쟁,88.008,49822390
392284545,433944600,제한경쟁,88.356,383418643
323130000,358158650,제한경쟁,88.576,317242900
2342662728,2570570475,제한경쟁,87.601,2251860000
1765960000,1941273950,제한경쟁,87.306,1694851000
586750000,650899875,제한경쟁,88.059,573178000
327832728,360441125,제한경쟁,88.572,319251600
88709018,95147600,제한경쟁,88.433,84142000
205392728,226609850,제한경쟁,88.379,200276249
375740000,410699875,제한경쟁,88.615,363943600
238946364,261886925,제한경쟁,88.309,231271900
59391819,65284000,제한경쟁,87.757,57291610
181100000,200207075,제한경쟁,88.514,177211394
692990910,752184000,제한경쟁,88.479,665526900
247674546,272147125,제한경쟁,88.477,240788270
248872728,273338450,제한경쟁,88.379,241574900
1168954545,1267304875,제한경쟁,87.437,1108098600
961218182,1042915300,제한경쟁,88.422,922169800
203469091,224495875,제한경쟁,88.131,197852375
216738182,238025225,제한경쟁,88.024,209521542
228981818,252370600,제한경쟁,88.25,222719310
252572728,277022950,제한경쟁,88.306,244627890
318680000,346428225,제한경쟁,88.549,306759817
765000000,843454425,제한경쟁,88.345,745154500
1372653637,1505823400,제한경쟁,87.48,1317295800
376727273,416847075,제한경쟁,88.512,368961070
440505455,485209000,제한경쟁,88.405,428951850
209484545,228445575,제한경쟁,88.139,201350660
96263479,104701475,제한경쟁,87.766,91892993
433746364,475995075,제한경쟁,88.464,421080620
356700000,392033600,제한경쟁,88.567,347215307
152527273,165708375,제한경쟁,88.411,146505249
4144397400,4646088275,제한경쟁,87.657,4072631586
253950000,279532175,제한경쟁,88.519,247439450
284195455,310303275,제한경쟁,88.364,274197249
5526390000,6058253950,제한경쟁,86.705,5252816000
361560000,397652400,제한경쟁,88.261,350972820
54674546,59720600,제한경쟁,87.794,52431115
104980000,115442525,제한경쟁,87.755,101307356
510550000,559843025,제한경쟁,88.547,495725980
203409091,227416750,제한경쟁,88.256,200709392
,40000000,제한경쟁,82.5,33000000
176940000,193922175,제한경쟁,88.636,171885760
382185455,421792450,제한경쟁,88.147,371797424
190920000,212186750,제한경쟁,88.607,188013600
1500590910,1647546825,제한경쟁,87.486,1441389000
181470000,195403900,제한경쟁,88.72,173363980
478292727,524283250,제한경쟁,88.526,464131260
9750000,10768900,제한경쟁,88.249,9503497
2213900000,2430437725,제한경쟁,87.323,2122355000
145669091,159686050,제한경쟁,88.305,141011200
110076364,120625125,제한경쟁,88.068,106233000
282927273,310884700,제한경쟁,88.208,274225650
482740000,530810925,제한경쟁,88.347,468959970
317662727,350579575,제한경쟁,88.555,310458000
258318182,284324100,제한경쟁,89.161,253507400
4751470000,5127415875,제한경쟁,87.527,4487894600
337471028,372232525,제한경쟁,88.317,328745200
163284545,178583875,제한경쟁,88.356,157790020
164566364,182733275,제한경쟁,88.48,161682590
412950000,451672900,제한경쟁,88.458,399541420
272364546,303695850,제한경쟁,88.266,268062471
200945455,220504575,제한경쟁,88.524,195200100
627272727,690013800,제한경쟁,88.216,608705200
128012064,142462950,제한경쟁,88.322,125827000
103196714,112605475,제한경쟁,88.616,99787400
12100000,13344050,제한경쟁,88.321,11785670
273270000,294415250,제한경쟁,88.41,260295000
213874546,233412925,제한경쟁,88.263,206018700
434300000,487491250,제한경쟁,88.742,432611340
159644545,173888075,제한경쟁,87.747,152581600
214117273,236183825,제한경쟁,88.433,208865986
255781818,278565425,제한경쟁,88.436,246352500
259863000,287215000,제한경쟁,88.436,254002100
246809091,272047275,제한경쟁,88.491,240740000
252817273,277658950,제한경쟁,87.987,244304440
9974059091,10884955025,제한경쟁,86.857,9454357000
258622728,282223375,제한경쟁,88.086,248600000
41271818,45427525,제한경쟁,87.746,39861170
351872728,378213775,제한경쟁,90.065,340639690
137583637,152984475,제한경쟁,88.173,134892000
183860000,199048050,제한경쟁,88.423,176005776
277157273,305834925,제한경쟁,88.648,271117000
201760000,221159300,제한경쟁,88.394,195491633
171669091,187761550,제한경쟁,88.119,165454000
231172728,255760450,제한경쟁,88.096,225316900
272727273,299526000,제한경쟁,88.15,264035100
622270000,690837175,제한경쟁,88.45,611050000
21818181,20000000,제한경쟁,86.02,17204000
310620000,342517475,제한경쟁,88.415,302837800
1655236364,1810090375,제한경쟁,87.399,1582007000
356320000,392897625,제한경쟁,88.203,346551300
